?Threat Description,Malware
"This is an odd one. Brook Self reports: The entire Victor Valley College Information Technology Department has been placed on paid administrative leave while campus police and an outside company investigate a breach in security protocol, President Roger Wagner said Thursday. While emphasizing that no private student or employee information had been compromised, Wagner said <a href='https://www.databreaches.net/ca-victor-valley-college-hit-by-computer-security-breach-entire-it-dept-put-on-leave/' class='excerpt-more'>[...]</a>",IdentityThreat
"From the see-what-you-find-when-you-actually-investigate dept.: There&#8217;s an update to a previously noted breach. IOM reports: The Department of Infrastructure has been criticised after a member of the public saw another person?s details &#8211; including an ex-directory phone number &#8211; while using the online service in December. Asÿwe reported on Tuesday,ÿdata protection supervisor Iain McDonald said ?public <a href='https://www.databreaches.net/isle-of-man-transport-chiefs-apologize-after-security-breach-on-pupils-bus-cards/' class='excerpt-more'>[...]</a>",InsiderThreat
"KXAN reports: A Round Rock man is going to federal prison for stealing credit card information from customers at Home Depot. Prosecutors say Daniel Marquardt worked in the IT department for The Home Depot in Austin. Investigators say he stole credit card info from more than 36,000 customers, then tried to sell it online. Marquardt <a href='https://www.databreaches.net/tx-home-depot-it-employee-stole-36000-customers-credit-card-numbers/' class='excerpt-more'>[...]</a>",InsiderThreat
"From the no-surprise-there-dept.: An 18-year-old Fremd High School senior from Schaumburg was charged by Palatine police today (Friday) with misdemeanor disorderly conduct for sending an offensive email. According to police, on Tuesday, Jan. 27, an email message containing an offensive image was sent to student email accounts at both Fremd and Palatine high schools. Police <a href='https://www.databreaches.net/palatine-police-charge-fremd-student-for-allegedly-sending-offensive-email/' class='excerpt-more'>[...]</a>",IdentityThreat
"Samantha Allen reports: UMass Memorial Medical Group said Friday it is working with law enforcement after a former employee allegedly accessed billing records that contained credit card and debit card information, Social Security numbers, dates of birth, and medical record numbers. The medical group, part of UMass Memorial Health Care, said it was given permission <a href='https://www.databreaches.net/umass-memorial-medical-group-reports-data-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"A St. Lucie County resident was sentenced to 70 months in prison, followed by three years of supervised release. Patrick J. Wardÿpreviously pled guilty to one count of possessing fifteen or more access devices and one count of aggravated identity theft. According to court documents, during a search warrant of Ward?s residence, law enforcement recovered <a href='https://www.databreaches.net/florida-man-sentenced-in-identity-theft-scheme-using-inmate-and-lexis-customer-information/' class='excerpt-more'>[...]</a>",IdentityThreat
"Khalil AlHajal reports: A former police officer convicted of racketeering last year was sentenced Friday to a minimum of two years and six months, and up to 20 years in prison Friday, according to Michigan Attorney General Bill Schuette. Tamboura Jackson, 41, of Clinton Township, was suspended and later resigned from the Detroit Police Department <a href='https://www.databreaches.net/former-detroit-cop-gets-up-to-20-years-prison-for-filing-false-identity-theft-reports/' class='excerpt-more'>[...]</a>",IdentityThreat
Rachel Karcz reportsÿFabricareÿhas been hacked and customer credit card data was stolen. ÿView the news segment onÿWPTZ. A copy of Fabricare&#8217;s notification to customers was uploaded today to the Vermont Attorney General&#8217;s site here (pdf). The short version: If you used a credit card at any one of our locations between April 1st 2014 and <a href='https://www.databreaches.net/vt-security-breach-at-local-dry-cleaners/' class='excerpt-more'>[...]</a>,IdentityThreat
"Patientsÿat Life Care Center of Attleboro between 1992 and 2004, in 2006, or in 2011, may have been affected by a breach involving paper records.ÿThe breach involved storage vendorÿIron Mountain, ÿwho was unable to locate the records during a limited audit. Although neither Iron Mountain nor Life Care Center of Attleboro seem to suspect data <a href='https://www.databreaches.net/ma-life-care-center-of-attleboro-notifies-former-patients-and-employees-of-missing-records/' class='excerpt-more'>[...]</a>",InsiderThreat
"In January, French Lick Resort in Indiana disclosed a malware-related breach affecting payment card data. On January 31, attorneys for Blue Sky Casino, LLC, the parent company, formally notified the Maryland Attorney General&#8217;s of the incident. The notification provides additional details on the incident, including the fact that the firm sent out 87,975 notification letters <a href='https://www.databreaches.net/more-details-on-the-french-lick-resort-payment-card-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
Florida&#8217;s Department of State has now issued a press release about a breach firstÿreported on this site yesterday. Here&#8217;s their statement: The Florida Division of Elections has learned of the inadvertent release of non-confidential voter information that occurred in March following the fulfillment of voter registration record extract requests. The Division of Elections has confirmed <a href='https://www.databreaches.net/florida-department-of-state-confirms-data-breach/' class='excerpt-more'>[...]</a>,IdentityThreat
"Back in January 2012, Zappos, which is owned by Amazon,ÿdisclosed that it had been hacked and that they were notifying more than 24 million customers. Less than one week later, the first lawsuit had been filed. Shortly thereafter, state attorneys general opened their own investigation into the breach. In January 2015, Zappos settled with the <a href='https://www.databreaches.net/zappos-data-breach-settlement-falls-apart-over-attorneys-fees/' class='excerpt-more'>[...]</a>",IdentityThreat
"Adam Wright reports that more than a dozen boxes of files containing Social Security numbers, driver&#8217;s license numbers, and credit card information were found in a dumpster behind a warehouse in Lee County. Schaefer says the files in the boxes belong to the company Coral Palm Auto Sales in Fort Myers. The business in question <a href='https://www.databreaches.net/fl-hundreds-of-files-with-personal-information-left-in-lee-county-dumpster/' class='excerpt-more'>[...]</a>",IdentityThreat
As seen on their web site: Bradley University has reported a breach of personally identifiable information that may affect current employees and their family members. An internal investigation conducted over the last several days discovered malware (malicious software) on two University computers containing personal identifiable information. The malware may have captured personal information including social <a href='https://www.databreaches.net/il-bradley-university-reports-data-breach/' class='excerpt-more'>[...]</a>,IdentityThreat
"Swati Khandelwal reports: Once again,ÿSyrian Electronic Army (SEA)ÿhas gain media attention by compromising a number of popular web hosting brands of one of the leading web-hosting companies Endurance International Group INC that manages over 60 different hosting brands. SEA, a pro-hacker group supposed to be aligned with Syrian President Bashar al-Assad, is famous for hacking <a href='https://www.databreaches.net/5-biggest-hosting-companies-hacked-by-syrian-electronic-army/' class='excerpt-more'>[...]</a>",IdentityThreat
"No, Human Resource Advantage. You do not get to put an unencrypted thumb drive with employee records in the regular mail to TrustHCSÿand then claim you take the security of personal information in your control &#8220;very seriously.&#8221; From your own investigation, that drive contained names, Social Security numbers, dates of birth, bank account information, postal <a href='https://www.databreaches.net/lets-send-an-unencrypted-thumb-drive-via-mail-what-can-possibly-go-wrong-right/' class='excerpt-more'>[...]</a>",IdentityThreat
"Chuck Kunz III of Morris James, LLP argues that Delaware&#8217;s data breach notification law needs amendments. ÿYou can read his analysis of the weaknesses in the current statute and why he thinks proposed amendments are unsatisfactory on JDSupra.",IdentityThreat
"Aimee Jones reports: Doris Strickland, director of the Newton County United Way, contacted the Sheriff?s Office Friday to report that the computer she uses at the United Way office for business was hacked through her email. She reported that she changed all her passwords, but discovered nearly $1,400 had been charged at several restaurants on <a href='https://www.databreaches.net/ga-identity-thieves-strike-united-way/' class='excerpt-more'>[...]</a>",IdentityThreat
An update from the BBC about a breach I hadn&#8217;t spotted before: The Information Commissioner&#8217;s Office has said it is satisfied with Dumfries and Galloway Council&#8217;s actions in the wake of a data protection breach. It followed the inadvertent release of personal information which was later posted on the internet. It is understood that the <a href='https://www.databreaches.net/uk-dumfries-and-galloway-council-data-breach-actions-accepted/' class='excerpt-more'>[...]</a>,InsiderThreat
"Eric Chabrow reports: Privacy advocates in the Senate have unveiled a national data breach notification bill that would allow states to keep their own laws if they provide more stringent reporting and privacy protections than offered by the federal government. TheÿConsumer Privacy Protection Act, introduced April 30, is sponsored by Sen. Patrick Leahy of Vermont <a href='https://www.databreaches.net/senator-leahy-introduces-consumer-privacy-protection-act-federal-data-breach-notification-law/' class='excerpt-more'>[...]</a>",IdentityThreat
"Steve Ragan reports: Researchers at Proofpoint recently discovered a Phishing campaign that originated form select job postings on CareerBuilder. Taking advantage of the notification system the job portal uses, the attacker uploaded malicious attachments instead of r‚sum‚s, which in turn forced CareerBuilder to act as a delivery vehicle for Phishing emails. The scam is both <a href='https://www.databreaches.net/careerbuilder-listings-used-as-phishing-platform/' class='excerpt-more'>[...]</a>",IdentityThreat
"Alston &#38; Bird write: On Wednesday, April 29, 2015, the Department of Justice Computer Crime and Intellectual Property Section (CCIPS) Cybersecurity Unit issued new, detailedÿguidanceÿon data breach incident response best practices.ÿ The document was announced at anÿinvitation-only round table hosted by DOJÿand provides guidance on what DOJ regards as ?best practices for victims and potential <a href='https://www.databreaches.net/doj-issues-data-breach-guidance/' class='excerpt-more'>[...]</a>",IdentityThreat
"Mike McKinnonÿreports: The office of Saskatchewan?s privacy commissioner has officially launched an investigation into an alleged privacy breach by the premier?s office. Peter Bowden, a health care aide whoÿwent public on March 30ÿwith concerns about the Saskatoon care home he works at, accused Premier Brad Wall and his chief of operations and communications, Kathy Young, <a href='https://www.databreaches.net/ca-privacy-commissioner-investigating-sask-premiers-office/' class='excerpt-more'>[...]</a>",IdentityThreat
"Their announcement: UC Berkeley officials announced today (Thursday, April 30) that they are sending alert notices to current students and other individuals regarding a computer data breach that may have resulted in unauthorized access to their Social Security numbers or other personal information. There is no evidence that such information has actually been used, but <a href='https://www.databreaches.net/uc-berkeley-announces-another-data-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"Kieren McCarthy reports: Two months after claiming there was &#8220;no indication&#8221; that confidential information was exposed in a security cock-up, domain name overseer ICANN hasÿadmittedÿit happened on at least 330 occasions. Following an audit of its main customer portal, the organization confirmed what weÿreported at the start of March: that misconfigured Salesforce software had given <a href='https://www.databreaches.net/confidential-information-exposed-over-300-times-in-icann-security-snafu/' class='excerpt-more'>[...]</a>",IdentityThreat
"Partners Healthcare System has become the latest healthcare system to disclose that patient data was compromised by employees falling for phishing attacks: Partners HealthCare System, Inc. and its affiliated institutions and hospitals, including Brigham and Women?s Hospital, Brigham and Women?s Faulkner Hospital, Massachusetts General Hospital,North Shore Medical Center, Partners Continuing Care, and Newton-Wellesley Hospital (?Partners <a href='https://www.databreaches.net/phishing-attack-hits-another-healthcare-system/' class='excerpt-more'>[...]</a>",IdentityThreat
"On April 27, the Technical College of the Lowcountryÿin Beaufort, South Carolina, disclosed a breach involving high school students who had enrolled in a program they offered. Here is their first statement: On Thursday, April 23, 2015, the Technical College of the Lowcountry was notified of a possible data security incident involving the online publication <a href='https://www.databreaches.net/technical-college-of-the-lowcountry-notifies-students-whose-ssn-were-exposed-online-by-third-party/' class='excerpt-more'>[...]</a>",IdentityThreat
"Veronica Rocha reports: Officials are investigating a security and privacy breach affecting 900 patients who were treated at the Los Angeles County-USC Medical Center?s mental health facility. The breach was discovered April 3 during a search of the home of a nurse who was employed at the Augustus F. Hawkins Mental Health Center, said Michael <a href='https://www.databreaches.net/theft-of-private-data-on-900-l-a-county-usc-patients-investigated/' class='excerpt-more'>[...]</a>",IdentityThreat
"Wow. Seen on Pastebin last night: Hi, I am the author of the Locker ransomware and I&#8217;m very sorry about that has happened. It was never my intention to release this. I uploaded the database to mega.co.nz containing &#8220;bitcoin address, public key, private key&#8221; as CSV. This is a dump of the complete database and <a href='https://www.databreaches.net/locker-ransomware-author-dumps-database-of-private-keys-apologizes/' class='excerpt-more'>[...]</a>",IdentityThreat
"Hunton &#38; Williams writes: On May 25, 2015, the French Data Protection Authority (?CNIL?)ÿreleasedÿits long-awaited annual inspection program for 2015. Under French data protection law, the CNIL may conduct four types of inspections: (1) on-site inspections (i.e., the CNIL may visit a company?s facilities and access anything that stores personal data); (2) document reviews (i.e., <a href='https://www.databreaches.net/french-data-protection-authority-reveals-2015-inspection-program/' class='excerpt-more'>[...]</a>",IdentityThreat
"Glynna Christian and Nikki Mondschein of Kaye Scholer LLP provide food for thought forÿbusinesses and covered entities whenÿreviewing contracts with IT service providers: IT service providers, particularly cloud service providers, increasingly are resisting unlimited liability for breaches of privacy and data security obligations in their customer agreements. Instead, they offer unlimited liability for breaches of <a href='https://www.databreaches.net/data-breach-liability-confidentiality-vs-privacy/' class='excerpt-more'>[...]</a>",IdentityThreat
"Sean Adams reports: In Mahwah, hackers set their sights on a local businessman and obtainedÿenough of his personal information to convince his bank to wire $240,000 overseas. Police Chief James Batelli said they even hijacked the man?s phone number, so when the bank called to verify ?That is call forwarded to Brussels and the person <a href='https://www.databreaches.net/nj-hackers-steal-240k-from-mahwah-businessmans-bank-account/' class='excerpt-more'>[...]</a>",IdentityThreat
"Here we go again: another disgruntled former employee with IT skills wrecks havoc on their former employer. The Leicester Mercury reportsÿthat The Gas Superstore lost œ41,000 and had to stop trading for three days because of Andrew Kenneth Plumb&#8217;s actions. Reporter Suzy Gibson notes: He cancelled customers&#8217; deliveries and uploaded pictures of Coronation Street characters, <a href='https://www.databreaches.net/uk-former-the-gas-superstore-employee-sentenced-for-revenge-hacking/' class='excerpt-more'>[...]</a>",IdentityThreat
"Two individuals, including a former employee of the U.S. Postal Service, have been sentenced for their participation in an identity theft tax refund fraud scheme.ÿShawn Hawes, 34, of Miami, was sentenced to 62 months in prison, followed by three years of supervised release.ÿÿKelly Urseles Roberts, 39, of Miami, was sentenced on May 19, 2015 to <a href='https://www.databreaches.net/fl-former-employee-of-the-u-s-postal-service-and-co-defendant-sentenced-for-identity-theft-tax-refund-fraud-scheme/' class='excerpt-more'>[...]</a>",IdentityThreat
"France&#8217;s Prime Minister Manuel Valls has announced that he plans to turn to computer hackers, often the scourge of governments worldwide, in order to infiltrate online jihadist networks. Read more on The Local (FR).",IdentityThreat
"Oops. Grocery giant Woolworths has scrambled to cancel overÿ$1 million worth of shopping vouchers after a massive leak of customer data, in which itÿmistakenly emailed the redeemableÿcodes ofÿ8000 gift cards containing the customers&#8217;ÿnames andÿemail addresses. Fairfax Media has obtained a copy of the email which contained an excel spreadsheet with the names and email address <a href='https://www.databreaches.net/woolworths-leaks-1-million-of-gift-cards-in-massive-data-breach-debacle/' class='excerpt-more'>[...]</a>",InsiderThreat
"Earlier today, I noted that the Yemen Cyber Army (YCA) had dumped another 1,000,000 records they obtained by hacking the Saudi Ministry of Foreign Affairs. This latest dump is visa data. Here&#8217;s a bit of a summary of the newest data: The compressed file is 73.4 MB; uncompressed, it&#8217;s one text file of 362 MB. <a href='https://www.databreaches.net/analysis-of-yemen-cyber-army-data-dump/' class='excerpt-more'>[...]</a>",IdentityThreat
"Reuters reports: A spokeswoman for Germany&#8217;s lower house of parliament, the Bundestag, confirmed that hackers had managed to steal data during the cyber attack two weeks ago. She described the detection of several data leaks. Details are unclear as to which specific offices the so-called &#8220;scattered data outflows&#8221; originated from, or what information they contained. <a href='https://www.databreaches.net/data-stolen-during-hack-attack-on-german-parliament-berlin-says/' class='excerpt-more'>[...]</a>",IdentityThreat
"Last month, it was revealed that theÿICO hitÿSouth Wales Policeÿwith aÿœ160,000 fineÿfor losing a video recording which formed part of the evidence in a sexual abuse case. Yesterday, the ICO announced that the SWP ÿsigned an undertaking to comply with the seventh data protection principle. As of May, there hadÿstill been no policies and procedures <a href='https://www.databreaches.net/in-addition-to-monetary-penalty-south-wales-police-asked-to-sign-undertaking/' class='excerpt-more'>[...]</a>",IdentityThreat
Phil Muncaster reports: New research has revealed that 14 of the world?s most popular VPN services leak sensitive customer data ? in many cases because they don?t yet protect IPv6 traffic. Researchers from Queen Mary University of London (QMUL) and the University of Rome launched theÿfindings in a paperÿat the Privacy Enhancing Technologies Symposium today. <a href='https://www.databreaches.net/top-vpns-leak-sensitive-user-information-report/' class='excerpt-more'>[...]</a>,IdentityThreat
"A Miami resident pled guilty for participating in an identity theft tax fraud scheme involving thousands of deceased and other individuals? personal identifying information (PII). Yovaris Pardo, 40, of Miami, pled guilty to one count of possessing a counterfeit access device, in violation of Title 18, United States Code, Section 1029(a)(1), one count of possessing <a href='https://www.databreaches.net/miami-resident-pleads-guilty-in-identity-theft-tax-fraud-scheme-involving-thousands-of-deceased-and-other-individuals-personal-identifying-information/' class='excerpt-more'>[...]</a>",IdentityThreat
Rick Karlin reports: The supervisor of a cluster of Long Island group homes for the disabled is charged with stealing the identity of a client. Blossom Officer Thame is charged with using a client?s name to open a PSE&#38;G electricity account. She is a treatment team leader for the State Office of People with Developmental <a href='https://www.databreaches.net/ny-ig-group-home-supervisor-charged-with-identity-theft/' class='excerpt-more'>[...]</a>,IdentityThreat
"Simon Rockman reports: A Windows 10 feature,ÿWi-Fi Sense, smells like a significant security risk: it shares access to password-protected Wi-Fi networks with the user&#8217;s contacts. So giving a wireless password to one person grants access to everyone who knows them. [&#8230;] Wi-Fi Sense doesn?t reveal the password to your family, friends, acquaintances, and the chap <a href='https://www.databreaches.net/windows-10-will-share-your-wi-fi-password-with-your-friends-friends/' class='excerpt-more'>[...]</a>",IdentityThreat
"Rachelle Younglai reports: Detour Gold Corp. is reaching out to former and current employees to tell them that their personal information may have been compromised due to a cyber attack. Detour, which operates one gold mine in Ontario, did not say when its server was hacked or how many employees have been affected by the <a href='https://www.databreaches.net/ca-detour-gold-warns-former-current-employees-of-data-breach/' class='excerpt-more'>[...]</a>",InsiderThreat
"Jordan Robertson and Michael Riley report: The executive in charge of protecting JPMorgan Chase &#38; Co.?s computer network from hackers has been reassigned, after a year on the job that included controversy over his handling of a massive data breach and the departure of several top security team members. Greg Rattray, a former U.S. Air <a href='https://www.databreaches.net/jpmorgan-reassigns-security-team-leader-a-year-after-data-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"Rick Rothacker reports: The former president of a Charlotte-based classic car dealership was sentenced last week to five years probation on federal mail fraud and identity theft charges, according to court documents filed in federal court in Cincinnati. For more than 22 years, Joseph M. Carroll used an Ohio man?s Social Security number to take <a href='https://www.databreaches.net/ex-president-of-charlotte-car-dealership-receives-5-years-probation-in-id-theft-case/' class='excerpt-more'>[...]</a>",IdentityThreat
"Lee J. writes: If you rememberÿ@TeamGhostShellÿfrom pre 2013, then you are in for a surprise, almost exactly 2 years and 6 months away they haveÿreturned with a rampage of leaked data from all sorts of websites. [&#8230;] So far there has been 444ÿdifferent databases dumped from sites and sub-domains mostly being education and government ÿbased. <a href='https://www.databreaches.net/teamghostshell-is-back-with-over-400-databases-dumped/' class='excerpt-more'>[...]</a>",IdentityThreat
"Shane Harris reports: Five years ago, U.S. officials refused to merge a database containing classified personnel records of intelligence agency employees with another run by the Office of Personnel Management, fearing that if the two systems were linked up, it could expose the personal information of covert operatives to leakers and hackers. Those concerns look <a href='https://www.databreaches.net/spies-warned-feds-about-opm-mega-hack-danger/' class='excerpt-more'>[...]</a>",IdentityThreat
"Cary Spivak and Lucas Daprile report: A computer owned by Daniel Placek ? a suburban Milwaukee man who helped create anÿinternational malware marketplaceÿ? contained 74,190 credit card numbers and 297 bank account numbers when it was seized during an FBI raid in 2010, documents filed in federal court Friday state. The information is contained in <a href='https://www.databreaches.net/daniel-placek-to-plead-guilty-for-role-in-creating-darkode/' class='excerpt-more'>[...]</a>",IdentityThreat
"On the evening of July 11th,ÿ69,246 patients of North East Medical Servicesÿ(NEMS) in San Francisco had their protected health information stolen because an employee left their workÿlaptop with unencrypted PHI in the trunk of their car. The theft was reported to the police and the employee reset the login and password remotely, but the theft <a href='https://www.databreaches.net/north-east-medical-services-notifies-over-69000-patients-whose-information-was-on-stolen-laptop/' class='excerpt-more'>[...]</a>",IdentityThreat
"WNYT reports: A restaurant server is accused of stealing the credit card numbers of customers, then using it to buy things for herself. Molly Dutrow, 20, now faces forgery and identity theft charges. All of the alleged thefts happened during the first two weeks of July. Police say Dutrow was working at Lillian?s Restaurant in <a href='https://www.databreaches.net/ny-restaurant-server-accused-of-stealing-customers-credit-card-info/' class='excerpt-more'>[...]</a>",InsiderThreat
"No wonder PHI is an attractive target for cyber criminals. It is relatively easy to get, and it gives them all the advantages of a stolen identity. And it is tough for defenders to protect data that is meant to be widely, and quickly, shared Read Taylor Armerding&#8217;s article on CSOÿas to why protected health <a href='https://www.databreaches.net/personal-health-information-in-the-wrong-hands-can-be-painful/' class='excerpt-more'>[...]</a>",IdentityThreat
"Shelton, CT ? July 24, 2015 ? Although unaware of any actual or attempted misuse of patient protected health information, on July 24, 2015, Advanced Radiology Consulting, LLC (?ARC?) will provide written notice of a recent data event to a small subset of its patient population. ARC has established a confidential inquiry line that patients <a href='https://www.databreaches.net/ct-advanced-radiology-consulting-llc-notifies-patients-of-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"The University is responding to a criminal cyberintrusion through which hackers apparently originating in China gained access toÿservers at UConn?s School of Engineering. UConn has implemented a combination of measures intended to further protect the University from cyberattack, and to assist individuals and research partners whose data may have been exposed. UConn IT security professionals, <a href='https://www.databreaches.net/uconn-discloses-data-breach-at-school-of-engineering-that-began-in-2013/' class='excerpt-more'>[...]</a>",IdentityThreat
"Nathaniel Popper suggests stolen consumer data is not as big a problem or threat as it may seem, and the impact on consumersÿis somewhat declining over time. Read his article in the New York Times: ÿStolen Consumer Data Is a Smaller Problem Than It Seems. While I agree with him that there&#8217;s been a lot <a href='https://www.databreaches.net/stolen-consumer-data-is-a-smaller-problem-than-it-seems/' class='excerpt-more'>[...]</a>",IdentityThreat
"Lucian Constantin reports: A hacker extracted customer log-in credentials from a server owned by Bitdefender that hosted the cloud-based management dashboards for its small and medium-size business clients. The antivirus company confirmed the security breach but said in an emailed statement that the attack affected less than 1 percent of its SMB customers, whose passwords <a href='https://www.databreaches.net/hacker-steals-bitdefender-customer-log-in-credentials-attempts-blackmail/' class='excerpt-more'>[...]</a>",IdentityThreat
"Alexander J. Martin reports: Why not celebrate SysAdmin Day by worrying about a data breach at incident management peddler PagerDuty? An attacker managed to get into the company&#8217;s systems on 9 July, and a belated 21 days later the company did the decent thing and informed its customers about the incident. &#8216;Fessing up to the <a href='https://www.databreaches.net/pagerduty-hacked-and-finally-comes-clean-21-days-later-cheers/' class='excerpt-more'>[...]</a>",IdentityThreat
"Sherry Slater reports: The ink was barely dry on patient notification letters when Medical Informatics Engineering Inc. was named the defendant in a lawsuit alleging that negligence contributed to the local company?s May data breach. James Young, a patient whose medical information was compromised, filed the paperwork Wednesday in U.S. District Court in Fort Wayne. <a href='https://www.databreaches.net/lawsuit-filed-in-medical-informatics-engineering-data-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"An update from Marco Chown Oved on the Rouge Valley Hospital insider breach reported last year: A former Rouge Valley Hospital clerk has pleaded guilty to stealing thousands of patient records and selling them to financial brokers over the course of more than a decade. Shaida Bandali, 61, who worked at Rouge Valley from 1995-2014, <a href='https://www.databreaches.net/ca-hospital-clerk-pleads-guilty-to-stealing-selling-patient-records/' class='excerpt-more'>[...]</a>",IdentityThreat
AP reports: Minnesota officials say driver&#8217;s license data on 18 residents was accessed after a password-protected portal was inadvertently opened online. The Department of Public Safety said Monday the breach happened when a server update accidentally removed the authentication process to access the state&#8217;s driver&#8217;s license database. Two individuals used the portal 55 times between <a href='https://www.databreaches.net/minnesota-blames-faulty-web-portal-for-breach-of-18-residents-drivers-license-information/' class='excerpt-more'>[...]</a>,IdentityThreat
"A press release fromÿNovick &#38; Associates, P.C.: Another bizarre incident occurred in the ongoing litigation between the sons of renownedÿEast HamptonÿsculptorÿNorman Mercerÿand BNY Mellon (BNYM), which is administering his estate, when the bank improperly turned over personal and financial information about its other trust account beneficiaries residing in the New York Tri-state area. In its <a href='https://www.databreaches.net/bny-mellon-accused-of-leaking-confidential-client-data/' class='excerpt-more'>[...]</a>",IdentityThreat
"Brian Bennett and W. J. Hennigan report: Foreign spy services, especially in China and Russia, are aggressively aggregating and cross-indexing hacked U.S. computer databases ? including security clearance applications, airline records and medical insurance forms ? to identify U.S. intelligence officers and agents, U.S. officials said. At least one clandestine network of American engineers and <a href='https://www.databreaches.net/china-and-russia-are-cross-indexing-hacked-data-to-target-u-s-spies-officials-say/' class='excerpt-more'>[...]</a>",IdentityThreat
"Jeremy Kirk reports: Russian-speaking hackers have breached 97 websites, mostly dating-related, and stolen login credentials, putting hundreds of thousands of users at risk. Many of the websites are niche dating ones similar to Ashley Madison, according to a list compiled byÿHold Security, a Wisconsin-based company that specializes in analyzing data breaches. A few are job-related <a href='https://www.databreaches.net/russian-speaking-hackers-breach-97-websites-many-of-them-dating-ones/' class='excerpt-more'>[...]</a>",IdentityThreat
"A San Antonio police officer whose suicide had been tentatively linked to exposure in the Ashley Madison data dump was not a member of Ashley Madison, according to both those who examined the data dumps and his widow. His name was listed as a member by a web site that is anti-police, Cop Block. The <a href='https://www.databreaches.net/cops-suicide-was-not-because-of-ashleymadison-data-dump-exposure/' class='excerpt-more'>[...]</a>",IdentityThreat
"Deepika K.C. writes: On Friday morning, those who tried logging into Karnataka State Higher Education Council (KSHEC) website were greeted by an unusual message. A caricature holding a glass with red liquid ? as if offering a toast ? was mocking at the visitors with these words: ?Your data belong to me?. The hackers had <a href='https://www.databreaches.net/in-kshec-website-hacked-restored-later/' class='excerpt-more'>[...]</a>",IdentityThreat
"The Indian Express reports: The Military Intelligence (MI) investigations over leakage of sensitive military information over Facebook by some serving Army officers has zeroed in on three officers of the rank of Colonel, Major and Lieutenant. These officers have been found to be giving out locations of Army units in exchange for sexually explicit conversation <a href='https://www.databreaches.net/three-indian-army-officers-shared-sensitive-info-on-facebook-in-exchange-for-sexually-explicit-chat/' class='excerpt-more'>[...]</a>",IdentityThreat
"Kunal Anand reports that a woman received hundreds of text messages with customer info and couldn&#8217;t get Ola Cabs to stop or to care: It turned out, Ola was sending me confirmation messages when other customers made a booking, in BANGALORE!&#8230;Hidden within the hashes I found mobile numbers, names and addresses&#8230;.Ola was sharing with me, <a href='https://www.databreaches.net/ola-cabs-accidentally-reveals-hundreds-of-customers-data-and-doesnt-care/' class='excerpt-more'>[...]</a>",InsiderThreat
"Kathianne Boniello reports: Data pirates beware: A Manhattan real-estate company has you in its sights. Reis Services LLC, which runs a database of commercial properties in more than 7,000 neighborhoods across the country, wants a court to unmask the information thief who has been accessing its proprietary reports for free, according to a Manhattan federal <a href='https://www.databreaches.net/data-pirate-stole-360k-in-real-estate-records-lawsuit/' class='excerpt-more'>[...]</a>",IdentityThreat
"Shades of J. Edgarÿand dirty politics!ÿI&#8217;m classifying this as a privacy breach and also an infosec breach as these data were supposed to be protected.ÿ Carol D. LeonnigÿandÿJerry Markonÿreport:ÿ The Secret Service?s assistant director urged that unflattering information the agency had in its files about a congressman critical of the service should be made public, <a href='https://www.databreaches.net/watchdog-top-secret-service-official-wanted-information-about-chaffetz-made-public/' class='excerpt-more'>[...]</a>",IdentityThreat
"Rose Bouboushian reports: Chase Bank must face identity theft claims for employees who let money launderers use a customer&#8217;s dormant accounts in a Medicare fraud scheme, the Second Circuit ruled Wednesday. Yelena Galper sued JP Morgan Chase Bank N.A. in New York state court in May 2013, claiming several of its employees accepted bribes to <a href='https://www.databreaches.net/chase-cant-dodge-10m-identity-theft-suit/' class='excerpt-more'>[...]</a>",IdentityThreat
"Aditya Tejas reports: The U.S. Central Intelligence Agency (CIA) pulled a number of officers from the American Embassy in Beijing as a precautionary measure after a massive cyberattack in June compromised the personal data of over 22 million federal employees, according to a report Tuesday. U.S. officials reportedly said the data breach was conducted by <a href='https://www.databreaches.net/cia-withdrew-officers-from-us-embassy-in-beijing-after-opm-breach-report/' class='excerpt-more'>[...]</a>",IdentityThreat
"From the well-that-was-quick dept.: Last week, this site reported that YapStone (VacationRentPayments) was notifying property managersÿand others who use their service to receive vacation rental paymentsÿthat ÿpersonal information in their account applicationsÿwas compromised by unauthorized persons. Yesterday, Law360 reported that a New Jersey customer has filed a lawsuit against themÿin California federal court accusing YapStoneÿof <a href='https://www.databreaches.net/payment-processor-yapstone-sued-over-vacation-rental-payments-data-breach/' class='excerpt-more'>[...]</a>",IdentityThreat
"The case of the former Reuters employee accused of involvement in hacking the L.A. Times has finally gone to trial. Sarah Jeong reports: A defense lawyer for Matthew Keys, a journalist charged with helping Anonymous ?hack? theÿLA Timesÿwebsite, told a jury on Tuesday that his client was not guilty because he neither intended to cause <a href='https://www.databreaches.net/is-this-journalist-guilty-of-low-level-vandalism-or-high-damage-hacking/' class='excerpt-more'>[...]</a>",IdentityThreat
